,station_name,station_lat,station_lng,Sat_inflow,Sat_outflow,Sun_inflow,Sun_outflow,Mon_inflow,Mon_outflow,Tues_inflow,Tues_outflow,Wed_inflow,Wed_outflow,Thur_inflow,Thur_outflow,Fri_inflow,Fri_outflow
35,W 18 St & 6 Ave,40.73971301,-73.99456405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Watts St & Greenwich St,40.72405549,-74.00965965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,W 13 St & 7 Ave,40.73781509,-73.99994661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Union St & Bedford Ave,40.6691783,-73.9554162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Franklin St & W Broadway,40.71911552,-74.00666661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Bank St & Hudson St,40.73652889,-74.00618026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Devoe St & Lorimer St,40.71335226222875,-73.9491033554077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Nassau Ave & Russell St,40.72557,-73.94434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,W Broadway & Spring Street,40.72494672359416,-74.00165855884552,4.728298611111112,4.427951388888888,6.419270833333335,5.523784722222222,7.095833333333334,6.220486111111112,7.156423611111112,6.044444444444444,6.996874999999999,6.186111111111111,7.361805555555555,6.1788194444444455,5.828472222222222,5.464930555555555
44,Fulton St & William St,40.70955958,-74.00653609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,E 31 St & 3 Ave,40.74394314,-73.97966069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Stanton St & Chrystie St,40.72229346,-73.99147535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,India St & Manhattan Ave,40.73232194,-73.9550858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,11 Ave & W 27 St,40.751396,-74.005226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,South St & Whitehall St,40.70122128,-74.01234218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,E 4 St & 2 Ave,40.7262807,-73.98978041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Bayard St & Baxter St,40.71602118,-73.99974372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Broadway & E 22 St,40.7403432,-73.98955109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,E 58 St & 3 Ave,40.76095756,-73.96724467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Smith St & 9 St,40.6746957,-73.99785768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,W 4 St & 7 Ave S,40.73401143,-74.00293877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,W 87 St & Amsterdam Ave,40.78839,-73.9747,2.1203125,2.2618055555555556,1.8515625,1.762326388888889,2.1114583333333337,2.139583333333333,2.0515625,2.297743055555556,1.950347222222222,2.1281250000000003,2.038888888888889,2.2609375000000003,2.1723958333333333,2.348611111111111
59,W 43 St & 6 Ave,40.75527307,-73.98316936,0.9446180555555556,0.9644097222222222,2.7128472222222224,2.783333333333333,3.023090277777778,2.9482638888888886,3.3378472222222224,3.333680555555555,2.938715277777778,2.884027777777778,2.8305555555555557,2.7421875,1.23125,1.1508680555555555
60,1 Ave & E 18 St,40.73381219196632,-73.98054420948029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,W 25 St & 6 Ave,40.74395411,-73.99144871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,W 110 St & Amsterdam Ave,40.802692,-73.96295,1.3100694444444445,1.3866319444444446,1.5319444444444448,1.8149305555555555,1.659548611111111,2.1652777777777774,1.6184027777777776,2.1251736111111112,1.4911458333333334,1.9397569444444442,1.5494791666666667,2.047743055555556,1.5236111111111112,1.7086805555555558
