start_x,start_y,size
0.0,3.0,3154
0.0,4.0,2614
0.0,5.0,3751
0.0,6.0,3785
0.0,9.0,241
0.0,10.0,3978
0.0,11.0,3471
0.0,12.0,3071
0.0,13.0,2323
0.0,14.0,2633
0.0,15.0,2223
1.0,3.0,8782
1.0,4.0,4083
1.0,5.0,10329
1.0,6.0,10432
1.0,7.0,1911
1.0,8.0,2514
1.0,9.0,1186
1.0,10.0,1027
1.0,11.0,3447
1.0,12.0,646
1.0,13.0,818
1.0,14.0,123
1.0,15.0,1070
2.0,3.0,1334
2.0,4.0,7592
2.0,5.0,9823
2.0,6.0,5449
2.0,7.0,8906
2.0,8.0,7646
2.0,9.0,11224
2.0,10.0,8572
2.0,11.0,1988
2.0,12.0,2151
2.0,13.0,847
2.0,15.0,13
3.0,3.0,3791
3.0,4.0,13794
3.0,5.0,8492
3.0,6.0,10209
3.0,7.0,9606
3.0,8.0,18630
3.0,9.0,16238
3.0,10.0,14466
3.0,11.0,10141
3.0,12.0,8236
3.0,13.0,3609
4.0,3.0,10781
4.0,4.0,11143
4.0,5.0,18561
4.0,6.0,9050
4.0,7.0,16056
4.0,8.0,24915
4.0,9.0,14908
4.0,10.0,3206
4.0,11.0,17001
4.0,12.0,3245
4.0,13.0,974
5.0,3.0,4015
5.0,4.0,3193
5.0,5.0,5378
5.0,6.0,18335
5.0,7.0,8491
5.0,8.0,17157
5.0,9.0,10577
5.0,10.0,5908
5.0,11.0,13171
5.0,12.0,4990
6.0,4.0,4408
6.0,5.0,8565
6.0,6.0,8482
6.0,7.0,11451
6.0,8.0,14226
6.0,9.0,7092
6.0,10.0,15080
6.0,11.0,13846
6.0,12.0,5661
6.0,13.0,1708
6.0,15.0,45
7.0,5.0,3804
7.0,6.0,2896
7.0,7.0,4957
7.0,8.0,6334
7.0,9.0,4020
7.0,10.0,2996
7.0,11.0,3766
7.0,12.0,5943
7.0,13.0,1930
7.0,14.0,1576
