start_x,start_y,size
0.0,3.0,12597
0.0,4.0,5588
0.0,5.0,10491
0.0,6.0,11557
0.0,9.0,4427
0.0,10.0,4919
0.0,11.0,4625
0.0,12.0,5203
0.0,13.0,4415
0.0,14.0,3698
0.0,15.0,4124
1.0,3.0,24351
1.0,4.0,7817
1.0,5.0,15269
1.0,6.0,18227
1.0,7.0,3924
1.0,8.0,3841
1.0,9.0,2437
1.0,10.0,4038
1.0,11.0,5894
1.0,12.0,1414
1.0,13.0,2502
1.0,14.0,393
1.0,15.0,1251
2.0,3.0,9853
2.0,4.0,11203
2.0,5.0,15226
2.0,6.0,5774
2.0,7.0,15807
2.0,8.0,12966
2.0,9.0,21307
2.0,10.0,16616
2.0,11.0,3213
2.0,12.0,3782
2.0,13.0,3298
2.0,15.0,23
3.0,3.0,8182
3.0,4.0,26241
3.0,5.0,20455
3.0,6.0,20196
3.0,7.0,15287
3.0,8.0,20099
3.0,9.0,25691
3.0,10.0,28837
3.0,11.0,18840
3.0,12.0,12740
3.0,13.0,8998
4.0,3.0,14815
4.0,4.0,19285
4.0,5.0,28731
4.0,6.0,14854
4.0,7.0,22715
4.0,8.0,33372
4.0,9.0,16976
4.0,10.0,5280
4.0,11.0,27330
4.0,12.0,3779
4.0,13.0,4524
5.0,3.0,12972
5.0,4.0,8835
5.0,5.0,11392
5.0,6.0,18907
5.0,7.0,8931
5.0,8.0,25538
5.0,9.0,17355
5.0,10.0,12421
5.0,11.0,19229
5.0,12.0,14154
6.0,4.0,10130
6.0,5.0,17106
6.0,6.0,16784
6.0,7.0,17307
6.0,8.0,17551
6.0,9.0,8602
6.0,10.0,13104
6.0,11.0,16898
6.0,12.0,9379
6.0,13.0,3690
6.0,15.0,680
7.0,5.0,12622
7.0,6.0,5802
7.0,7.0,6990
7.0,8.0,11470
7.0,9.0,10108
7.0,10.0,6532
7.0,11.0,8847
7.0,12.0,7069
7.0,13.0,7701
7.0,14.0,4882
7.0,15.0,418
