start_x,start_y,size
0.0,3.0,4695
0.0,4.0,1809
0.0,5.0,2821
0.0,6.0,2978
0.0,9.0,1542
0.0,10.0,1849
0.0,11.0,1642
0.0,12.0,1497
0.0,13.0,1834
0.0,14.0,1303
0.0,15.0,1154
1.0,3.0,7950
1.0,4.0,3381
1.0,5.0,4643
1.0,6.0,7623
1.0,7.0,1378
1.0,8.0,1325
1.0,9.0,981
1.0,10.0,1530
1.0,11.0,1958
1.0,12.0,478
1.0,13.0,871
1.0,14.0,90
1.0,15.0,378
2.0,3.0,3300
2.0,4.0,3177
2.0,5.0,4772
2.0,6.0,1581
2.0,7.0,3659
2.0,8.0,4070
2.0,9.0,6129
2.0,10.0,6036
2.0,11.0,1395
2.0,12.0,1292
2.0,13.0,1456
2.0,15.0,16
3.0,3.0,2403
3.0,4.0,7711
3.0,5.0,5909
3.0,6.0,6296
3.0,7.0,4185
3.0,8.0,6300
3.0,9.0,8126
3.0,10.0,9091
3.0,11.0,6300
3.0,12.0,4377
3.0,13.0,3056
4.0,3.0,4008
4.0,4.0,5936
4.0,5.0,9215
4.0,6.0,4695
4.0,7.0,6144
4.0,8.0,10232
4.0,9.0,6317
4.0,10.0,1677
4.0,11.0,9432
4.0,12.0,2073
4.0,13.0,1480
5.0,3.0,3972
5.0,4.0,2593
5.0,5.0,4173
5.0,6.0,5284
5.0,7.0,1788
5.0,8.0,7181
5.0,9.0,5349
5.0,10.0,4148
5.0,11.0,7203
5.0,12.0,4427
6.0,4.0,3290
6.0,5.0,6010
6.0,6.0,5021
6.0,7.0,5300
6.0,8.0,6325
6.0,9.0,1987
6.0,10.0,3319
6.0,11.0,5146
6.0,12.0,3120
6.0,13.0,1366
6.0,15.0,183
7.0,5.0,3217
7.0,6.0,2192
7.0,7.0,2868
7.0,8.0,3905
7.0,9.0,4005
7.0,10.0,1950
7.0,11.0,2510
7.0,12.0,1789
7.0,13.0,2612
7.0,14.0,1572
