start_x,start_y,size
0.0,3.0,10442
0.0,4.0,4302
0.0,5.0,7069
0.0,6.0,7927
0.0,9.0,4116
0.0,10.0,3778
0.0,11.0,4095
0.0,12.0,3736
0.0,13.0,4552
0.0,14.0,3094
0.0,15.0,3127
1.0,3.0,18212
1.0,4.0,5834
1.0,5.0,9311
1.0,6.0,16769
1.0,7.0,2512
1.0,8.0,2316
1.0,9.0,2080
1.0,10.0,4004
1.0,11.0,4877
1.0,12.0,1165
1.0,13.0,1963
1.0,14.0,253
1.0,15.0,1022
2.0,3.0,7434
2.0,4.0,6946
2.0,5.0,9957
2.0,6.0,1360
2.0,7.0,7774
2.0,8.0,8657
2.0,9.0,12908
2.0,10.0,10886
2.0,11.0,2450
2.0,12.0,2462
2.0,13.0,3073
2.0,15.0,16
3.0,3.0,5497
3.0,4.0,16035
3.0,5.0,12406
3.0,6.0,11807
3.0,7.0,9096
3.0,8.0,12044
3.0,9.0,15590
3.0,10.0,18413
3.0,11.0,11476
3.0,12.0,8152
3.0,13.0,6200
4.0,3.0,9786
4.0,4.0,11858
4.0,5.0,17943
4.0,6.0,8869
4.0,7.0,11990
4.0,8.0,21300
4.0,9.0,12826
4.0,10.0,3272
4.0,11.0,10375
4.0,12.0,3939
4.0,13.0,2924
5.0,3.0,9933
5.0,4.0,4949
5.0,5.0,7678
5.0,6.0,10748
5.0,7.0,2454
5.0,8.0,14192
5.0,9.0,8285
5.0,10.0,5941
5.0,11.0,13994
5.0,12.0,9512
6.0,4.0,6566
6.0,5.0,11895
6.0,6.0,9836
6.0,7.0,10575
6.0,8.0,11385
6.0,9.0,4521
6.0,10.0,6360
6.0,11.0,10086
6.0,12.0,6794
6.0,13.0,2726
6.0,15.0,765
7.0,5.0,8894
7.0,6.0,3667
7.0,7.0,5422
7.0,8.0,9392
7.0,9.0,9773
7.0,10.0,4875
7.0,11.0,5884
7.0,12.0,3856
7.0,13.0,5568
7.0,14.0,3568
