start_x,start_y,size
0.0,3.0,2913
0.0,4.0,1987
0.0,5.0,3511
0.0,6.0,3169
0.0,9.0,410
0.0,10.0,3545
0.0,11.0,2928
0.0,12.0,2749
0.0,13.0,2468
0.0,14.0,2225
0.0,15.0,2183
1.0,3.0,7965
1.0,4.0,4203
1.0,5.0,9717
1.0,6.0,10048
1.0,7.0,1906
1.0,8.0,2503
1.0,9.0,1232
1.0,10.0,1172
1.0,11.0,3243
1.0,12.0,688
1.0,13.0,1011
1.0,14.0,309
1.0,15.0,1022
2.0,3.0,1496
2.0,4.0,6974
2.0,5.0,9332
2.0,6.0,2071
2.0,7.0,9340
2.0,8.0,6217
2.0,9.0,11823
2.0,10.0,9322
2.0,11.0,2128
2.0,12.0,2063
2.0,13.0,942
2.0,15.0,12
3.0,3.0,3789
3.0,4.0,13067
3.0,5.0,8544
3.0,6.0,10720
3.0,7.0,10020
3.0,8.0,15928
3.0,9.0,15876
3.0,10.0,16337
3.0,11.0,10643
3.0,12.0,9483
3.0,13.0,3874
4.0,3.0,9963
4.0,4.0,11229
4.0,5.0,21713
4.0,6.0,8724
4.0,7.0,18571
4.0,8.0,28222
4.0,9.0,16047
4.0,10.0,3509
4.0,11.0,17952
4.0,12.0,2616
4.0,13.0,2898
5.0,3.0,4582
5.0,4.0,3690
5.0,5.0,5865
5.0,6.0,17604
5.0,7.0,8531
5.0,8.0,17131
5.0,9.0,14062
5.0,10.0,6516
5.0,11.0,13226
5.0,12.0,5409
6.0,4.0,4784
6.0,5.0,8377
6.0,6.0,7623
6.0,7.0,12448
6.0,8.0,13959
6.0,9.0,8215
6.0,10.0,13216
6.0,11.0,13976
6.0,12.0,5426
6.0,13.0,2003
6.0,15.0,35
7.0,5.0,4057
7.0,6.0,3760
7.0,7.0,3556
7.0,8.0,6813
7.0,9.0,4242
7.0,10.0,3254
7.0,11.0,4863
7.0,12.0,3605
7.0,13.0,3402
7.0,14.0,2128
