start_x,start_y,size
0.0,3.0,5145
0.0,4.0,3762
0.0,5.0,5311
0.0,6.0,5612
0.0,9.0,915
0.0,10.0,4717
0.0,11.0,4212
0.0,12.0,4429
0.0,13.0,3270
0.0,14.0,3679
0.0,15.0,3124
1.0,3.0,14347
1.0,4.0,6624
1.0,5.0,15087
1.0,6.0,15646
1.0,7.0,3000
1.0,8.0,3625
1.0,9.0,1748
1.0,10.0,1709
1.0,11.0,5466
1.0,12.0,1041
1.0,13.0,1528
1.0,14.0,409
1.0,15.0,1544
2.0,3.0,3034
2.0,4.0,11812
2.0,5.0,15244
2.0,6.0,3357
2.0,7.0,14609
2.0,8.0,11848
2.0,9.0,17392
2.0,10.0,13753
2.0,11.0,3040
2.0,12.0,1935
2.0,13.0,1696
2.0,15.0,18
3.0,3.0,6645
3.0,4.0,21022
3.0,5.0,12647
3.0,6.0,16640
3.0,7.0,15382
3.0,8.0,24768
3.0,9.0,24056
3.0,10.0,23842
3.0,11.0,16668
3.0,12.0,12781
3.0,13.0,5482
4.0,3.0,17468
4.0,4.0,17108
4.0,5.0,33540
4.0,6.0,12842
4.0,7.0,27516
4.0,8.0,41401
4.0,9.0,25312
4.0,10.0,5364
4.0,11.0,26930
4.0,12.0,3532
4.0,13.0,4052
5.0,3.0,8841
5.0,4.0,5346
5.0,5.0,7827
5.0,6.0,26758
5.0,7.0,12434
5.0,8.0,25134
5.0,9.0,21530
5.0,10.0,9720
5.0,11.0,19763
5.0,12.0,8850
6.0,4.0,8207
6.0,5.0,9216
6.0,6.0,11620
6.0,7.0,18235
6.0,8.0,21824
6.0,9.0,12972
6.0,10.0,22136
6.0,11.0,20839
6.0,12.0,8361
6.0,13.0,3104
6.0,15.0,22
7.0,5.0,6549
7.0,6.0,6353
7.0,7.0,5921
7.0,8.0,10626
7.0,9.0,6477
7.0,10.0,5210
7.0,11.0,5974
7.0,12.0,7008
7.0,13.0,5028
7.0,14.0,3185
