start_x,start_y,size
0.0,3.0,5087
0.0,4.0,3067
0.0,5.0,4386
0.0,6.0,4292
0.0,9.0,1128
0.0,10.0,3693
0.0,11.0,3163
0.0,12.0,3245
0.0,13.0,2802
0.0,14.0,2358
0.0,15.0,2433
1.0,3.0,12138
1.0,4.0,5033
1.0,5.0,9332
1.0,6.0,11045
1.0,7.0,2148
1.0,8.0,2569
1.0,9.0,1438
1.0,10.0,1880
1.0,11.0,3370
1.0,12.0,897
1.0,13.0,1306
1.0,14.0,368
1.0,15.0,873
2.0,3.0,3664
2.0,4.0,7862
2.0,5.0,8421
2.0,6.0,2746
2.0,7.0,7669
2.0,8.0,7549
2.0,9.0,11715
2.0,10.0,9699
2.0,11.0,2221
2.0,12.0,2185
2.0,13.0,1666
2.0,15.0,11
3.0,3.0,4475
3.0,4.0,13981
3.0,5.0,9252
3.0,6.0,10538
3.0,7.0,9292
3.0,8.0,13735
3.0,9.0,14834
3.0,10.0,16360
3.0,11.0,10701
3.0,12.0,8307
3.0,13.0,4329
4.0,3.0,9579
4.0,4.0,11115
4.0,5.0,17272
4.0,6.0,8776
4.0,7.0,16020
4.0,8.0,20519
4.0,9.0,14766
4.0,10.0,3237
4.0,11.0,17061
4.0,12.0,3422
4.0,13.0,2552
5.0,3.0,6275
5.0,4.0,4921
5.0,5.0,6523
5.0,6.0,15725
5.0,7.0,7088
5.0,8.0,16838
5.0,9.0,12754
5.0,10.0,6671
5.0,11.0,10740
5.0,12.0,6609
6.0,4.0,5424
6.0,5.0,8904
6.0,6.0,8379
6.0,7.0,11524
6.0,8.0,13211
6.0,9.0,7118
6.0,10.0,13615
6.0,11.0,12569
6.0,12.0,5266
6.0,13.0,2128
6.0,15.0,148
7.0,5.0,5017
7.0,6.0,3367
7.0,7.0,4891
7.0,8.0,6738
7.0,9.0,4917
7.0,10.0,2862
7.0,11.0,4933
7.0,12.0,3331
7.0,13.0,3807
7.0,14.0,2439
