start_x,start_y,size
0.0,3.0,12470
0.0,4.0,7540
0.0,5.0,10296
0.0,6.0,10717
0.0,9.0,4510
0.0,10.0,9431
0.0,11.0,10349
0.0,12.0,6829
0.0,13.0,7084
0.0,14.0,5220
0.0,15.0,6516
1.0,3.0,33223
1.0,4.0,16456
1.0,5.0,24111
1.0,6.0,30821
1.0,7.0,3860
1.0,8.0,5437
1.0,9.0,3693
1.0,10.0,5181
1.0,11.0,9306
1.0,12.0,4239
1.0,13.0,3431
1.0,14.0,508
1.0,15.0,2252
2.0,3.0,9708
2.0,4.0,23888
2.0,5.0,25848
2.0,6.0,13025
2.0,7.0,25203
2.0,8.0,15545
2.0,9.0,36021
2.0,10.0,20916
2.0,11.0,10363
2.0,12.0,5136
2.0,13.0,4014
2.0,15.0,35
3.0,3.0,14629
3.0,4.0,36757
3.0,5.0,28668
3.0,6.0,32468
3.0,7.0,23879
3.0,8.0,34454
3.0,9.0,43149
3.0,10.0,42601
3.0,11.0,29374
3.0,12.0,17338
3.0,13.0,12024
4.0,3.0,32082
4.0,4.0,35092
4.0,5.0,51370
4.0,6.0,22634
4.0,7.0,38764
4.0,8.0,48872
4.0,9.0,30310
4.0,10.0,14295
4.0,11.0,35351
4.0,12.0,9640
4.0,13.0,2291
5.0,3.0,18203
5.0,4.0,17447
5.0,5.0,24035
5.0,6.0,29570
5.0,7.0,16411
5.0,8.0,42954
5.0,9.0,27255
5.0,10.0,16176
5.0,11.0,32833
5.0,12.0,15892
6.0,4.0,18090
6.0,5.0,27946
6.0,6.0,18681
6.0,7.0,29128
6.0,8.0,28075
6.0,9.0,19783
6.0,10.0,25661
6.0,11.0,13953
6.0,12.0,22119
6.0,13.0,5024
6.0,15.0,400
7.0,5.0,17789
7.0,6.0,7468
7.0,7.0,15498
7.0,9.0,20984
7.0,10.0,8538
7.0,11.0,10817
7.0,12.0,8913
7.0,13.0,12753
7.0,14.0,5757
7.0,15.0,306
