start_x,start_y,size
0.0,3.0,13461
0.0,4.0,6255
0.0,5.0,11648
0.0,6.0,11864
0.0,9.0,4961
0.0,10.0,4992
0.0,11.0,5449
0.0,12.0,5588
0.0,13.0,4789
0.0,14.0,3938
0.0,15.0,4511
1.0,3.0,26767
1.0,4.0,8877
1.0,5.0,16412
1.0,6.0,20921
1.0,7.0,4500
1.0,8.0,4426
1.0,9.0,2977
1.0,10.0,4733
1.0,11.0,6734
1.0,12.0,1649
1.0,13.0,2620
1.0,14.0,260
1.0,15.0,1423
2.0,3.0,10728
2.0,4.0,13016
2.0,5.0,16562
2.0,6.0,6257
2.0,7.0,18639
2.0,8.0,14595
2.0,9.0,23664
2.0,10.0,18454
2.0,11.0,3608
2.0,12.0,3971
2.0,13.0,3516
2.0,15.0,18
3.0,3.0,9463
3.0,4.0,29357
3.0,5.0,23276
3.0,6.0,22716
3.0,7.0,16265
3.0,8.0,23064
3.0,9.0,29963
3.0,10.0,32850
3.0,11.0,21973
3.0,12.0,14470
3.0,13.0,11175
4.0,3.0,16742
4.0,4.0,21929
4.0,5.0,32215
4.0,6.0,16687
4.0,7.0,24280
4.0,8.0,35621
4.0,9.0,20240
4.0,10.0,2481
4.0,11.0,32641
4.0,12.0,3736
4.0,13.0,3124
5.0,3.0,14825
5.0,4.0,10578
5.0,5.0,12638
5.0,6.0,21531
5.0,7.0,9770
5.0,8.0,30263
5.0,9.0,20496
5.0,10.0,13244
5.0,11.0,17767
5.0,12.0,15181
6.0,4.0,11174
6.0,5.0,16468
6.0,6.0,19330
6.0,7.0,18307
6.0,8.0,19571
6.0,9.0,11450
6.0,10.0,14273
6.0,11.0,18114
6.0,12.0,10275
6.0,13.0,4212
6.0,15.0,597
7.0,5.0,13998
7.0,6.0,5837
7.0,7.0,8481
7.0,8.0,11794
7.0,9.0,10221
7.0,10.0,6395
7.0,11.0,8853
7.0,12.0,7138
7.0,13.0,7808
7.0,14.0,4986
7.0,15.0,557
