start_x,start_y,size
0.0,3.0,9047
0.0,4.0,7396
0.0,5.0,8889
0.0,6.0,10849
0.0,9.0,1360
0.0,10.0,7088
0.0,11.0,6327
0.0,12.0,6288
0.0,13.0,4309
0.0,14.0,4566
0.0,15.0,4226
1.0,3.0,26795
1.0,4.0,9348
1.0,5.0,19528
1.0,6.0,22830
1.0,7.0,4840
1.0,8.0,4334
1.0,9.0,2492
1.0,10.0,4004
1.0,11.0,8243
1.0,12.0,1518
1.0,13.0,1735
1.0,14.0,285
1.0,15.0,2032
2.0,3.0,7049
2.0,4.0,17799
2.0,5.0,21168
2.0,6.0,8791
2.0,7.0,19457
2.0,8.0,13707
2.0,9.0,21271
2.0,10.0,15472
2.0,11.0,3669
2.0,12.0,3288
2.0,13.0,2341
2.0,15.0,45
3.0,3.0,10578
3.0,4.0,28049
3.0,5.0,18030
3.0,6.0,20154
3.0,7.0,18612
3.0,8.0,30782
3.0,9.0,28122
3.0,10.0,28513
3.0,11.0,19481
3.0,12.0,14249
3.0,13.0,6905
4.0,3.0,22661
4.0,4.0,18433
4.0,5.0,40778
4.0,6.0,15341
4.0,7.0,33183
4.0,8.0,45403
4.0,9.0,30811
4.0,10.0,5517
4.0,11.0,29517
4.0,12.0,5002
4.0,13.0,4396
5.0,3.0,15945
5.0,4.0,6512
5.0,5.0,10389
5.0,6.0,32150
5.0,7.0,16043
5.0,8.0,25067
5.0,9.0,25361
5.0,10.0,10869
5.0,11.0,21384
5.0,12.0,10377
6.0,4.0,8920
6.0,5.0,15750
6.0,6.0,14497
6.0,7.0,19917
6.0,8.0,26926
6.0,9.0,12240
6.0,10.0,27794
6.0,11.0,24097
6.0,12.0,10078
6.0,13.0,3107
6.0,15.0,224
7.0,5.0,8792
7.0,6.0,5012
7.0,7.0,8947
7.0,8.0,9742
7.0,9.0,6990
7.0,10.0,7178
7.0,11.0,5847
7.0,12.0,11035
7.0,13.0,4548
7.0,14.0,3621
