start_x,start_y,size
0.0,3.0,9989
0.0,4.0,8000
0.0,5.0,9474
0.0,6.0,11622
0.0,9.0,2690
0.0,10.0,7231
0.0,11.0,6565
0.0,12.0,6481
0.0,13.0,5191
0.0,14.0,5083
0.0,15.0,4669
1.0,3.0,30262
1.0,4.0,10329
1.0,5.0,20291
1.0,6.0,21743
1.0,7.0,5611
1.0,8.0,4725
1.0,9.0,2745
1.0,10.0,4602
1.0,11.0,8987
1.0,12.0,1707
1.0,13.0,1896
1.0,14.0,345
1.0,15.0,2208
2.0,3.0,8294
2.0,4.0,19986
2.0,5.0,23869
2.0,6.0,10224
2.0,7.0,21345
2.0,8.0,16064
2.0,9.0,24086
2.0,10.0,17457
2.0,11.0,3685
2.0,12.0,3491
2.0,13.0,2640
2.0,15.0,44
3.0,3.0,12894
3.0,4.0,32835
3.0,5.0,20115
3.0,6.0,21922
3.0,7.0,19341
3.0,8.0,32716
3.0,9.0,31898
3.0,10.0,32289
3.0,11.0,21682
3.0,12.0,15595
3.0,13.0,7215
4.0,3.0,28079
4.0,4.0,19251
4.0,5.0,46485
4.0,6.0,15288
4.0,7.0,30927
4.0,8.0,51347
4.0,9.0,30889
4.0,10.0,5931
4.0,11.0,32069
4.0,12.0,5337
4.0,13.0,4864
5.0,3.0,18422
5.0,4.0,5938
5.0,5.0,11488
5.0,6.0,31465
5.0,7.0,18398
5.0,8.0,24661
5.0,9.0,22896
5.0,10.0,11638
5.0,11.0,22001
5.0,12.0,11554
6.0,4.0,10121
6.0,5.0,17612
6.0,6.0,16354
6.0,7.0,20309
6.0,8.0,26460
6.0,9.0,11682
6.0,10.0,27007
6.0,11.0,23826
6.0,12.0,11448
6.0,13.0,3592
6.0,15.0,229
7.0,5.0,9972
7.0,6.0,5408
7.0,7.0,9860
7.0,8.0,8499
7.0,9.0,7653
7.0,10.0,7237
7.0,11.0,7023
7.0,12.0,9562
7.0,13.0,2899
7.0,14.0,4104
