start_x,start_y,size
0.0,3.0,8723
0.0,4.0,5260
0.0,5.0,9051
0.0,6.0,7403
0.0,9.0,3160
0.0,10.0,5716
0.0,11.0,5988
0.0,12.0,6273
0.0,13.0,4501
0.0,14.0,3836
0.0,15.0,4191
1.0,3.0,22409
1.0,4.0,8494
1.0,5.0,15330
1.0,6.0,19463
1.0,7.0,3697
1.0,8.0,4534
1.0,9.0,2348
1.0,10.0,2784
1.0,11.0,6587
1.0,12.0,1590
1.0,13.0,2139
1.0,14.0,283
1.0,15.0,1189
2.0,3.0,7979
2.0,4.0,14924
2.0,5.0,15915
2.0,6.0,6321
2.0,7.0,18065
2.0,8.0,13624
2.0,9.0,22402
2.0,10.0,17369
2.0,11.0,2313
2.0,12.0,4514
2.0,13.0,2724
2.0,15.0,26
3.0,3.0,8340
3.0,4.0,26195
3.0,5.0,21536
3.0,6.0,22483
3.0,7.0,16637
3.0,8.0,25315
3.0,9.0,25401
3.0,10.0,30513
3.0,11.0,23808
3.0,12.0,13301
3.0,13.0,11182
4.0,3.0,15148
4.0,4.0,22832
4.0,5.0,32899
4.0,6.0,17243
4.0,7.0,27520
4.0,8.0,35850
4.0,9.0,23327
4.0,10.0,2868
4.0,11.0,29714
4.0,12.0,3510
4.0,13.0,2674
5.0,3.0,11679
5.0,4.0,11210
5.0,5.0,13947
5.0,6.0,21685
5.0,7.0,10543
5.0,8.0,32020
5.0,9.0,20389
5.0,10.0,10703
5.0,11.0,19892
5.0,12.0,13961
6.0,4.0,9652
6.0,5.0,16786
6.0,6.0,16326
6.0,7.0,19208
6.0,8.0,21574
6.0,9.0,12498
6.0,10.0,21484
6.0,11.0,8252
6.0,12.0,15634
6.0,13.0,3925
6.0,15.0,322
7.0,5.0,12694
7.0,6.0,6224
7.0,7.0,9562
7.0,8.0,12940
7.0,9.0,11161
7.0,10.0,2960
7.0,11.0,10694
7.0,12.0,7006
7.0,13.0,7831
7.0,14.0,4521
7.0,15.0,217
