start_x,start_y,size
0.0,3.0,2464
0.0,4.0,1145
0.0,5.0,1922
0.0,6.0,1637
0.0,9.0,416
0.0,10.0,2254
0.0,11.0,2112
0.0,12.0,1903
0.0,13.0,1231
0.0,14.0,1200
0.0,15.0,1198
1.0,3.0,5148
1.0,4.0,2538
1.0,5.0,4501
1.0,6.0,5469
1.0,7.0,990
1.0,8.0,1647
1.0,9.0,802
1.0,10.0,465
1.0,11.0,1973
1.0,12.0,420
1.0,13.0,971
1.0,14.0,104
1.0,15.0,436
2.0,3.0,1472
2.0,4.0,3549
2.0,5.0,4598
2.0,6.0,2662
2.0,7.0,5127
2.0,8.0,4893
2.0,9.0,7864
2.0,10.0,6690
2.0,11.0,1421
2.0,12.0,1866
2.0,13.0,803
2.0,15.0,27
3.0,3.0,2405
3.0,4.0,6205
3.0,5.0,5422
3.0,6.0,6294
3.0,7.0,3844
3.0,8.0,7884
3.0,9.0,8491
3.0,10.0,10107
3.0,11.0,6440
3.0,12.0,4621
3.0,13.0,3113
4.0,3.0,4082
4.0,4.0,6834
4.0,5.0,11573
4.0,6.0,5625
4.0,7.0,9154
4.0,8.0,13765
4.0,9.0,7048
4.0,10.0,2616
4.0,11.0,10298
4.0,12.0,2257
4.0,13.0,674
5.0,3.0,2456
5.0,4.0,2941
5.0,5.0,4488
5.0,6.0,7311
5.0,7.0,3748
5.0,8.0,9838
5.0,9.0,6266
5.0,10.0,4151
5.0,11.0,9691
5.0,12.0,4092
6.0,4.0,3572
6.0,5.0,5785
6.0,6.0,5203
6.0,7.0,6141
6.0,8.0,6765
6.0,9.0,4359
6.0,10.0,7154
6.0,11.0,3129
6.0,12.0,5369
6.0,13.0,1070
6.0,15.0,53
7.0,5.0,3552
7.0,6.0,1826
7.0,7.0,2954
7.0,8.0,5124
7.0,9.0,2335
7.0,10.0,1841
7.0,11.0,2682
7.0,12.0,2308
7.0,13.0,2964
7.0,14.0,1498
7.0,15.0,32
