start_x,start_y,size
0.0,3.0,12819
0.0,4.0,6502
0.0,5.0,10911
0.0,6.0,10458
0.0,9.0,3777
0.0,10.0,6164
0.0,11.0,6013
0.0,12.0,6524
0.0,13.0,4972
0.0,14.0,4146
0.0,15.0,4735
1.0,3.0,27488
1.0,4.0,9409
1.0,5.0,17309
1.0,6.0,22484
1.0,7.0,4656
1.0,8.0,5016
1.0,9.0,2882
1.0,10.0,3876
1.0,11.0,7157
1.0,12.0,1694
1.0,13.0,2664
1.0,14.0,110
1.0,15.0,1524
2.0,3.0,10168
2.0,4.0,14963
2.0,5.0,16786
2.0,6.0,6676
2.0,7.0,20304
2.0,8.0,15561
2.0,9.0,25307
2.0,10.0,19945
2.0,11.0,4065
2.0,12.0,4490
2.0,13.0,3668
2.0,15.0,16
3.0,3.0,9923
3.0,4.0,29978
3.0,5.0,23509
3.0,6.0,24844
3.0,7.0,19160
3.0,8.0,27574
3.0,9.0,32305
3.0,10.0,36529
3.0,11.0,23757
3.0,12.0,15416
3.0,13.0,12462
4.0,3.0,17663
4.0,4.0,24879
4.0,5.0,36240
4.0,6.0,18257
4.0,7.0,27271
4.0,8.0,39184
4.0,9.0,24409
4.0,11.0,35946
4.0,12.0,3931
4.0,13.0,2963
5.0,3.0,15267
5.0,4.0,11712
5.0,5.0,13592
5.0,6.0,23560
5.0,7.0,10709
5.0,8.0,34901
5.0,9.0,22330
5.0,10.0,13394
5.0,11.0,16849
5.0,12.0,15987
6.0,4.0,11169
6.0,5.0,14704
6.0,6.0,20363
6.0,7.0,19118
6.0,8.0,21871
6.0,9.0,13344
6.0,10.0,20708
6.0,11.0,9588
6.0,12.0,16242
6.0,13.0,4307
6.0,15.0,366
7.0,5.0,14508
7.0,6.0,6565
7.0,7.0,9859
7.0,8.0,13058
7.0,9.0,11843
7.0,10.0,4738
7.0,11.0,10948
7.0,12.0,7605
7.0,13.0,8630
7.0,14.0,5245
7.0,15.0,352
