start_x,start_y,size
0.0,3.0,3861
0.0,4.0,1853
0.0,5.0,3080
0.0,6.0,2641
0.0,9.0,829
0.0,10.0,3607
0.0,11.0,3778
0.0,12.0,3120
0.0,13.0,2455
0.0,14.0,2129
0.0,15.0,2292
1.0,3.0,8260
1.0,4.0,4207
1.0,5.0,7617
1.0,6.0,8958
1.0,7.0,1712
1.0,8.0,2506
1.0,9.0,1396
1.0,10.0,1043
1.0,11.0,3547
1.0,12.0,819
1.0,13.0,1663
1.0,14.0,218
1.0,15.0,671
2.0,3.0,2792
2.0,4.0,6002
2.0,5.0,7962
2.0,6.0,4239
2.0,7.0,8334
2.0,8.0,7637
2.0,9.0,11832
2.0,10.0,10301
2.0,11.0,1981
2.0,12.0,2699
2.0,13.0,1430
2.0,15.0,16
3.0,3.0,4278
3.0,4.0,10505
3.0,5.0,9184
3.0,6.0,9805
3.0,7.0,7034
3.0,8.0,11889
3.0,9.0,13577
3.0,10.0,16388
3.0,11.0,10161
3.0,12.0,7572
3.0,13.0,4738
4.0,3.0,6588
4.0,4.0,11893
4.0,5.0,19748
4.0,6.0,8820
4.0,7.0,14552
4.0,8.0,22252
4.0,9.0,11248
4.0,10.0,2886
4.0,11.0,16206
4.0,12.0,2280
4.0,13.0,1152
5.0,3.0,3832
5.0,4.0,5062
5.0,5.0,7399
5.0,6.0,12312
5.0,7.0,7037
5.0,8.0,15421
5.0,9.0,9731
5.0,10.0,6667
5.0,11.0,15072
5.0,12.0,7092
6.0,4.0,5438
6.0,5.0,9861
6.0,6.0,8449
6.0,7.0,9611
6.0,8.0,10834
6.0,9.0,7558
6.0,10.0,11237
6.0,11.0,4821
6.0,12.0,8353
6.0,13.0,1799
6.0,15.0,115
7.0,5.0,5932
7.0,6.0,2916
7.0,7.0,4997
7.0,8.0,7866
7.0,9.0,4597
7.0,10.0,3051
7.0,11.0,4436
7.0,12.0,4263
7.0,13.0,4699
7.0,14.0,2472
7.0,15.0,45
