start_x,start_y,size
0.0,3.0,3358
0.0,4.0,1951
0.0,5.0,3127
0.0,6.0,2519
0.0,9.0,859
0.0,10.0,3626
0.0,11.0,3749
0.0,12.0,3194
0.0,13.0,2419
0.0,14.0,2154
0.0,15.0,2321
1.0,3.0,8299
1.0,4.0,4239
1.0,5.0,7687
1.0,6.0,8926
1.0,7.0,1758
1.0,8.0,2434
1.0,9.0,1365
1.0,10.0,947
1.0,11.0,3517
1.0,12.0,878
1.0,13.0,1539
1.0,14.0,231
1.0,15.0,705
2.0,3.0,2641
2.0,4.0,5731
2.0,5.0,7163
2.0,6.0,2824
2.0,7.0,9136
2.0,8.0,7662
2.0,9.0,11806
2.0,10.0,9910
2.0,11.0,1999
2.0,12.0,2783
2.0,13.0,1288
2.0,15.0,19
3.0,3.0,3667
3.0,4.0,10862
3.0,5.0,8944
3.0,6.0,10119
3.0,7.0,7451
3.0,8.0,12486
3.0,9.0,12956
3.0,10.0,16974
3.0,11.0,9058
3.0,12.0,7495
3.0,13.0,4800
4.0,3.0,6739
4.0,4.0,10995
4.0,5.0,16463
4.0,6.0,8448
4.0,7.0,15267
4.0,8.0,19581
4.0,9.0,11055
4.0,10.0,2666
4.0,11.0,16533
4.0,12.0,2189
4.0,13.0,1117
5.0,3.0,4064
5.0,4.0,5489
5.0,5.0,7804
5.0,6.0,11315
5.0,7.0,6411
5.0,8.0,17414
5.0,9.0,9280
5.0,10.0,6629
5.0,11.0,12637
5.0,12.0,6476
6.0,4.0,5342
6.0,5.0,10190
6.0,6.0,7955
6.0,7.0,10302
6.0,8.0,12170
6.0,9.0,9045
6.0,10.0,11576
6.0,11.0,4552
6.0,12.0,8069
6.0,13.0,1887
6.0,15.0,103
7.0,5.0,5879
7.0,6.0,2999
7.0,7.0,4905
7.0,8.0,7932
7.0,9.0,4813
7.0,10.0,3144
7.0,11.0,4413
7.0,12.0,4604
7.0,13.0,4306
7.0,14.0,2472
7.0,15.0,33
