start_x,start_y,size
0.0,3.0,5260
0.0,4.0,3749
0.0,5.0,5533
0.0,6.0,5330
0.0,9.0,2070
0.0,10.0,4668
0.0,11.0,5167
0.0,12.0,4706
0.0,13.0,3492
0.0,14.0,3017
0.0,15.0,3537
1.0,3.0,16820
1.0,4.0,6340
1.0,5.0,11738
1.0,6.0,14627
1.0,7.0,2790
1.0,8.0,3496
1.0,9.0,1924
1.0,10.0,2011
1.0,11.0,4988
1.0,12.0,1240
1.0,13.0,2132
1.0,14.0,231
1.0,15.0,1010
2.0,3.0,5758
2.0,4.0,10299
2.0,5.0,11603
2.0,6.0,4463
2.0,7.0,13254
2.0,8.0,10738
2.0,9.0,17135
2.0,10.0,13919
2.0,11.0,2915
2.0,12.0,3425
2.0,13.0,2251
2.0,15.0,11
3.0,3.0,5733
3.0,4.0,19335
3.0,5.0,15446
3.0,6.0,16877
3.0,7.0,11919
3.0,8.0,18844
3.0,9.0,19918
3.0,10.0,26083
3.0,11.0,15393
3.0,12.0,9324
3.0,13.0,8158
4.0,3.0,10981
4.0,4.0,17220
4.0,5.0,24598
4.0,6.0,12836
4.0,7.0,21610
4.0,8.0,28353
4.0,9.0,16418
4.0,10.0,4028
4.0,11.0,23952
4.0,12.0,2799
4.0,13.0,2084
5.0,3.0,8210
5.0,4.0,8620
5.0,5.0,11367
5.0,6.0,16890
5.0,7.0,8708
5.0,8.0,23510
5.0,9.0,15748
5.0,10.0,10165
5.0,11.0,17503
5.0,12.0,10703
6.0,4.0,7446
6.0,5.0,13811
6.0,6.0,12429
6.0,7.0,14721
6.0,8.0,17812
6.0,9.0,11483
6.0,10.0,16044
6.0,11.0,6621
6.0,12.0,12826
6.0,13.0,3059
6.0,15.0,184
7.0,5.0,9523
7.0,6.0,4699
7.0,7.0,7501
7.0,8.0,11894
7.0,9.0,8321
7.0,10.0,5467
7.0,11.0,6430
7.0,12.0,6353
7.0,13.0,5913
7.0,14.0,3669
7.0,15.0,68
