start_x,start_y,size
0.0,3.0,10790
0.0,4.0,8586
0.0,5.0,9930
0.0,6.0,12266
0.0,9.0,2360
0.0,10.0,6939
0.0,11.0,6822
0.0,12.0,6713
0.0,13.0,5683
0.0,14.0,4923
0.0,15.0,4496
1.0,3.0,29916
1.0,4.0,10328
1.0,5.0,21503
1.0,6.0,25388
1.0,7.0,5866
1.0,8.0,5389
1.0,9.0,2611
1.0,10.0,4257
1.0,11.0,8100
1.0,12.0,1717
1.0,13.0,1774
1.0,14.0,398
1.0,15.0,2200
2.0,3.0,8551
2.0,4.0,21056
2.0,5.0,24595
2.0,6.0,10523
2.0,7.0,22212
2.0,8.0,16688
2.0,9.0,24929
2.0,10.0,18802
2.0,11.0,3669
2.0,12.0,3684
2.0,13.0,2711
2.0,15.0,56
3.0,3.0,11500
3.0,4.0,32696
3.0,5.0,19962
3.0,6.0,22184
3.0,7.0,20171
3.0,8.0,33434
3.0,9.0,32752
3.0,10.0,32805
3.0,11.0,22618
3.0,12.0,16168
3.0,13.0,7719
4.0,3.0,27365
4.0,4.0,19480
4.0,5.0,48047
4.0,6.0,15792
4.0,7.0,35680
4.0,8.0,54975
4.0,9.0,32196
4.0,10.0,6098
4.0,11.0,33954
4.0,12.0,5607
4.0,13.0,5380
5.0,3.0,18426
5.0,4.0,7274
5.0,5.0,12042
5.0,6.0,34553
5.0,7.0,16067
5.0,8.0,30707
5.0,9.0,25646
5.0,10.0,12298
5.0,11.0,23838
5.0,12.0,12944
6.0,4.0,10497
6.0,5.0,18159
6.0,6.0,17174
6.0,7.0,21378
6.0,8.0,26378
6.0,9.0,14067
6.0,10.0,30098
6.0,11.0,26298
6.0,12.0,10043
6.0,13.0,4944
6.0,15.0,273
7.0,5.0,9475
7.0,6.0,5920
7.0,7.0,10290
7.0,8.0,12920
7.0,9.0,6935
7.0,10.0,8068
7.0,11.0,5455
7.0,12.0,12203
7.0,13.0,2750
7.0,14.0,4186
