start_x,start_y,size
0.0,3.0,11749
0.0,4.0,4841
0.0,5.0,8590
0.0,6.0,10035
0.0,9.0,4238
0.0,10.0,4605
0.0,11.0,4585
0.0,12.0,4405
0.0,13.0,4489
0.0,14.0,3411
0.0,15.0,3750
1.0,3.0,21744
1.0,4.0,7283
1.0,5.0,12734
1.0,6.0,19506
1.0,7.0,3729
1.0,8.0,3394
1.0,9.0,2510
1.0,10.0,3996
1.0,11.0,5090
1.0,12.0,1291
1.0,13.0,2244
1.0,14.0,624
1.0,15.0,1404
2.0,3.0,8851
2.0,4.0,9373
2.0,5.0,13748
2.0,6.0,3602
2.0,7.0,11642
2.0,8.0,11329
2.0,9.0,17957
2.0,10.0,14183
2.0,11.0,3134
2.0,12.0,3349
2.0,13.0,3425
2.0,15.0,16
3.0,3.0,6814
3.0,4.0,22091
3.0,5.0,17322
3.0,6.0,18585
3.0,7.0,13550
3.0,8.0,16767
3.0,9.0,20748
3.0,10.0,25718
3.0,11.0,15346
3.0,12.0,10971
3.0,13.0,8363
4.0,3.0,13135
4.0,4.0,15921
4.0,5.0,25105
4.0,6.0,10974
4.0,7.0,17186
4.0,8.0,27534
4.0,9.0,16432
4.0,10.0,5939
4.0,11.0,16392
4.0,12.0,5433
4.0,13.0,3999
5.0,3.0,12160
5.0,4.0,6853
5.0,5.0,9446
5.0,6.0,15665
5.0,7.0,5947
5.0,8.0,17887
5.0,9.0,13093
5.0,10.0,9117
5.0,11.0,17287
5.0,12.0,11483
6.0,4.0,8456
6.0,5.0,14972
6.0,6.0,14139
6.0,7.0,14041
6.0,8.0,13089
6.0,9.0,6118
6.0,10.0,9953
6.0,11.0,13239
6.0,12.0,7507
6.0,13.0,3274
6.0,15.0,813
7.0,5.0,11614
7.0,6.0,4948
7.0,7.0,4612
7.0,8.0,10286
7.0,9.0,9884
7.0,10.0,5289
7.0,11.0,7337
7.0,12.0,5404
7.0,13.0,6611
7.0,14.0,4332
7.0,15.0,66
