start_x,start_y,size
0.0,3.0,7961
0.0,4.0,6715
0.0,5.0,6676
0.0,6.0,8215
0.0,9.0,1423
0.0,10.0,6876
0.0,11.0,5787
0.0,12.0,5634
0.0,13.0,4160
0.0,14.0,4377
0.0,15.0,3839
1.0,3.0,21398
1.0,4.0,8130
1.0,5.0,17996
1.0,6.0,20342
1.0,7.0,4047
1.0,8.0,4027
1.0,9.0,2212
1.0,10.0,3480
1.0,11.0,7184
1.0,12.0,1451
1.0,13.0,1603
1.0,14.0,231
1.0,15.0,1774
2.0,3.0,5304
2.0,4.0,14621
2.0,5.0,19597
2.0,6.0,8159
2.0,7.0,17448
2.0,8.0,12723
2.0,9.0,19720
2.0,10.0,13367
2.0,11.0,2897
2.0,12.0,3146
2.0,13.0,2022
2.0,15.0,35
3.0,3.0,8518
3.0,4.0,27210
3.0,5.0,17530
3.0,6.0,19216
3.0,7.0,15637
3.0,8.0,31551
3.0,9.0,27175
3.0,10.0,26024
3.0,11.0,18244
3.0,12.0,12765
3.0,13.0,6407
4.0,3.0,22806
4.0,4.0,18678
4.0,5.0,32632
4.0,6.0,15356
4.0,7.0,31216
4.0,8.0,42233
4.0,9.0,28381
4.0,10.0,5041
4.0,11.0,27213
4.0,12.0,4807
4.0,13.0,3448
5.0,3.0,12254
5.0,4.0,5711
5.0,5.0,9606
5.0,6.0,29935
5.0,7.0,13129
5.0,8.0,28446
5.0,9.0,22393
5.0,10.0,10753
5.0,11.0,21350
5.0,12.0,9119
6.0,4.0,7782
6.0,5.0,15030
6.0,6.0,14037
6.0,7.0,18399
6.0,8.0,22397
6.0,9.0,10940
6.0,10.0,26113
6.0,11.0,22828
6.0,12.0,9545
6.0,13.0,2961
6.0,15.0,213
7.0,5.0,7924
7.0,6.0,4760
7.0,7.0,8373
7.0,8.0,11369
7.0,9.0,8448
7.0,10.0,6191
7.0,11.0,6302
7.0,12.0,10135
7.0,13.0,4459
7.0,14.0,3520
