start_x,start_y,size
0.0,3.0,11058
0.0,4.0,6608
0.0,5.0,9258
0.0,6.0,8002
0.0,9.0,4115
0.0,10.0,8095
0.0,11.0,8320
0.0,12.0,6510
0.0,13.0,5159
0.0,14.0,4445
0.0,15.0,5096
1.0,3.0,26571
1.0,4.0,13264
1.0,5.0,19295
1.0,6.0,26546
1.0,7.0,3405
1.0,8.0,4572
1.0,9.0,3098
1.0,10.0,3570
1.0,11.0,8545
1.0,12.0,2492
1.0,13.0,3274
1.0,14.0,420
1.0,15.0,1865
2.0,3.0,8695
2.0,4.0,18192
2.0,5.0,20971
2.0,6.0,11237
2.0,7.0,20797
2.0,8.0,13459
2.0,9.0,30193
2.0,10.0,18174
2.0,11.0,7854
2.0,12.0,4582
2.0,13.0,3524
2.0,15.0,33
3.0,3.0,12583
3.0,4.0,29174
3.0,5.0,22923
3.0,6.0,26899
3.0,7.0,19835
3.0,8.0,28381
3.0,9.0,34172
3.0,10.0,34854
3.0,11.0,24669
3.0,12.0,14673
3.0,13.0,10609
4.0,3.0,24383
4.0,4.0,29205
4.0,5.0,42120
4.0,6.0,18910
4.0,7.0,32776
4.0,8.0,43322
4.0,9.0,24713
4.0,10.0,12091
4.0,11.0,30181
4.0,12.0,8298
4.0,13.0,1984
5.0,3.0,15723
5.0,4.0,14133
5.0,5.0,19374
5.0,6.0,24318
5.0,7.0,13718
5.0,8.0,36574
5.0,9.0,22767
5.0,10.0,14349
5.0,11.0,31287
5.0,12.0,11822
6.0,4.0,14977
6.0,5.0,24334
6.0,6.0,16288
6.0,7.0,24524
6.0,8.0,21678
6.0,9.0,15704
6.0,10.0,21874
6.0,11.0,11651
6.0,12.0,18458
6.0,13.0,3812
6.0,15.0,442
7.0,5.0,15595
7.0,6.0,7031
7.0,7.0,12074
7.0,8.0,6300
7.0,9.0,16143
7.0,10.0,6932
7.0,11.0,10029
7.0,12.0,7840
7.0,13.0,10874
7.0,14.0,5231
7.0,15.0,298
