start_x,start_y,size
0.0,3.0,3474
0.0,4.0,2831
0.0,5.0,4137
0.0,6.0,3673
0.0,9.0,301
0.0,10.0,4072
0.0,11.0,3756
0.0,12.0,3207
0.0,13.0,2608
0.0,14.0,2868
0.0,15.0,2370
1.0,3.0,8998
1.0,4.0,4351
1.0,5.0,10956
1.0,6.0,11216
1.0,7.0,2012
1.0,8.0,2841
1.0,9.0,1239
1.0,10.0,1028
1.0,11.0,3519
1.0,12.0,762
1.0,13.0,911
1.0,14.0,166
1.0,15.0,1094
2.0,3.0,1155
2.0,4.0,7902
2.0,5.0,10071
2.0,6.0,5411
2.0,7.0,9222
2.0,8.0,7706
2.0,9.0,11180
2.0,10.0,8974
2.0,11.0,2118
2.0,12.0,2227
2.0,13.0,827
2.0,15.0,13
3.0,3.0,3620
3.0,4.0,14256
3.0,5.0,8535
3.0,6.0,9567
3.0,7.0,8591
3.0,8.0,18033
3.0,9.0,16482
3.0,10.0,14411
3.0,11.0,9248
3.0,12.0,8424
3.0,13.0,3353
4.0,3.0,10726
4.0,4.0,11236
4.0,5.0,18731
4.0,6.0,9232
4.0,7.0,16602
4.0,8.0,24789
4.0,9.0,15884
4.0,10.0,3416
4.0,11.0,17152
4.0,12.0,3286
4.0,13.0,839
5.0,3.0,3721
5.0,4.0,3293
5.0,5.0,5674
5.0,6.0,18740
5.0,7.0,8805
5.0,8.0,17932
5.0,9.0,10606
5.0,10.0,6903
5.0,11.0,13505
5.0,12.0,4982
6.0,4.0,4486
6.0,5.0,8946
6.0,6.0,8730
6.0,7.0,12461
6.0,8.0,15750
6.0,9.0,7686
6.0,10.0,16270
6.0,11.0,14855
6.0,12.0,5767
6.0,13.0,1676
6.0,15.0,8
7.0,5.0,4044
7.0,6.0,2856
7.0,7.0,5108
7.0,8.0,6244
7.0,9.0,3563
7.0,10.0,3177
7.0,11.0,3856
7.0,12.0,6444
7.0,13.0,2021
7.0,14.0,1706
