start_x,start_y,size
0.0,3.0,12733
0.0,4.0,9087
0.0,5.0,11326
0.0,6.0,13027
0.0,9.0,2607
0.0,10.0,7747
0.0,11.0,7359
0.0,12.0,7208
0.0,13.0,5530
0.0,14.0,5297
0.0,15.0,5156
1.0,3.0,33252
1.0,4.0,12344
1.0,5.0,25784
1.0,6.0,28602
1.0,7.0,5518
1.0,8.0,5566
1.0,9.0,3199
1.0,10.0,4911
1.0,11.0,9050
1.0,12.0,1994
1.0,13.0,1961
1.0,14.0,516
1.0,15.0,2508
2.0,3.0,8197
2.0,4.0,23639
2.0,5.0,27967
2.0,6.0,11667
2.0,7.0,25919
2.0,8.0,18625
2.0,9.0,27745
2.0,10.0,20271
2.0,11.0,4544
2.0,12.0,1425
2.0,13.0,3280
2.0,15.0,36
3.0,3.0,13579
3.0,4.0,37312
3.0,5.0,19421
3.0,6.0,30119
3.0,7.0,25866
3.0,8.0,40717
3.0,9.0,37976
3.0,10.0,36462
3.0,11.0,25460
3.0,12.0,17503
3.0,13.0,8807
4.0,3.0,30711
4.0,4.0,28724
4.0,5.0,54443
4.0,6.0,14980
4.0,7.0,44641
4.0,8.0,60926
4.0,9.0,38567
4.0,10.0,7500
4.0,11.0,38308
4.0,12.0,5713
4.0,13.0,5865
5.0,3.0,20130
5.0,4.0,8816
5.0,5.0,13695
5.0,6.0,39748
5.0,7.0,15721
5.0,8.0,35418
5.0,9.0,29272
5.0,10.0,13962
5.0,11.0,27547
5.0,12.0,14471
6.0,4.0,11473
6.0,5.0,19296
6.0,6.0,18952
6.0,7.0,24495
6.0,8.0,29410
6.0,9.0,17117
6.0,10.0,30435
6.0,11.0,29300
6.0,12.0,9134
6.0,13.0,5123
6.0,15.0,268
7.0,5.0,11178
7.0,6.0,7102
7.0,7.0,11657
7.0,8.0,14959
7.0,9.0,10597
7.0,10.0,6029
7.0,11.0,6744
7.0,12.0,14095
7.0,13.0,6268
7.0,14.0,4548
