start_x,start_y,size
0.0,3.0,7546
0.0,4.0,4276
0.0,5.0,6740
0.0,6.0,5573
0.0,9.0,3153
0.0,10.0,6187
0.0,11.0,6339
0.0,12.0,5376
0.0,13.0,3863
0.0,14.0,3543
0.0,15.0,3851
1.0,3.0,18449
1.0,4.0,8235
1.0,5.0,13548
1.0,6.0,20489
1.0,7.0,2419
1.0,8.0,3852
1.0,9.0,2037
1.0,10.0,2448
1.0,11.0,6711
1.0,12.0,1567
1.0,13.0,2452
1.0,14.0,330
1.0,15.0,1388
2.0,3.0,6276
2.0,4.0,12691
2.0,5.0,13610
2.0,6.0,8582
2.0,7.0,14461
2.0,8.0,10908
2.0,9.0,22064
2.0,10.0,14900
2.0,11.0,5313
2.0,12.0,3939
2.0,13.0,2632
2.0,15.0,31
3.0,3.0,8921
3.0,4.0,19673
3.0,5.0,16663
3.0,6.0,19595
3.0,7.0,14928
3.0,8.0,20934
3.0,9.0,25740
3.0,10.0,25183
3.0,11.0,19981
3.0,12.0,11306
3.0,13.0,8377
4.0,3.0,13838
4.0,4.0,20833
4.0,5.0,32634
4.0,6.0,14814
4.0,7.0,24407
4.0,8.0,34261
4.0,9.0,17450
4.0,10.0,9234
4.0,11.0,25149
4.0,12.0,6704
4.0,13.0,1668
5.0,3.0,12130
5.0,4.0,9640
5.0,5.0,14898
5.0,6.0,19283
5.0,7.0,11286
5.0,8.0,28068
5.0,9.0,18090
5.0,10.0,11578
5.0,11.0,25478
5.0,12.0,11823
6.0,4.0,11368
6.0,5.0,18446
6.0,6.0,13021
6.0,7.0,19606
6.0,8.0,17280
6.0,9.0,12458
6.0,10.0,17811
6.0,11.0,9235
6.0,12.0,14865
6.0,13.0,3139
6.0,15.0,382
7.0,5.0,11693
7.0,6.0,5410
7.0,7.0,9332
7.0,8.0,5861
7.0,9.0,12169
7.0,10.0,5492
7.0,11.0,7952
7.0,12.0,6322
7.0,13.0,8690
7.0,14.0,4153
7.0,15.0,271
