start_x,start_y,size
0.0,3.0,6085
0.0,4.0,3205
0.0,5.0,4706
0.0,6.0,4325
0.0,9.0,2280
0.0,10.0,5018
0.0,11.0,4848
0.0,12.0,4259
0.0,13.0,3023
0.0,14.0,2718
0.0,15.0,2886
1.0,3.0,13346
1.0,4.0,5124
1.0,5.0,10251
1.0,6.0,14539
1.0,7.0,2191
1.0,8.0,3266
1.0,9.0,1618
1.0,10.0,1838
1.0,11.0,4980
1.0,12.0,1219
1.0,13.0,1998
1.0,14.0,250
1.0,15.0,1047
2.0,3.0,5040
2.0,4.0,8842
2.0,5.0,10688
2.0,6.0,6502
2.0,7.0,11466
2.0,8.0,9240
2.0,9.0,17537
2.0,10.0,12590
2.0,11.0,4138
2.0,12.0,3173
2.0,13.0,2027
2.0,15.0,19
3.0,3.0,6683
3.0,4.0,15250
3.0,5.0,12887
3.0,6.0,15060
3.0,7.0,10471
3.0,8.0,16586
3.0,9.0,19613
3.0,10.0,21119
3.0,11.0,15827
3.0,12.0,8890
3.0,13.0,6698
4.0,3.0,9829
4.0,4.0,16774
4.0,5.0,25346
4.0,6.0,11258
4.0,7.0,18471
4.0,8.0,29447
4.0,9.0,15229
4.0,10.0,6669
4.0,11.0,20965
4.0,12.0,5279
4.0,13.0,1329
5.0,3.0,8025
5.0,4.0,6697
5.0,5.0,11033
5.0,6.0,14758
5.0,7.0,8938
5.0,8.0,20686
5.0,9.0,13378
5.0,10.0,8675
5.0,11.0,20998
5.0,12.0,9376
6.0,4.0,8269
6.0,5.0,12618
6.0,6.0,10841
6.0,7.0,13602
6.0,8.0,15061
6.0,9.0,9770
6.0,10.0,13906
6.0,11.0,7042
6.0,12.0,11238
6.0,13.0,2313
6.0,15.0,281
7.0,5.0,8006
7.0,6.0,3908
7.0,7.0,6757
7.0,8.0,8868
7.0,9.0,7262
7.0,10.0,3830
7.0,11.0,6165
7.0,12.0,4719
7.0,13.0,5759
7.0,14.0,3245
7.0,15.0,198
