start_x,start_y,size
0.0,3.0,3845
0.0,4.0,2629
0.0,5.0,4159
0.0,6.0,4096
0.0,9.0,644
0.0,10.0,4184
0.0,11.0,3530
0.0,12.0,3563
0.0,13.0,3069
0.0,14.0,2599
0.0,15.0,2674
1.0,3.0,10184
1.0,4.0,5149
1.0,5.0,11316
1.0,6.0,11644
1.0,7.0,2016
1.0,8.0,2799
1.0,9.0,1526
1.0,10.0,1573
1.0,11.0,3822
1.0,12.0,823
1.0,13.0,1224
1.0,14.0,412
1.0,15.0,1183
2.0,3.0,2004
2.0,4.0,9125
2.0,5.0,10007
2.0,6.0,3123
2.0,7.0,10112
2.0,8.0,8495
2.0,9.0,13905
2.0,10.0,10659
2.0,11.0,2493
2.0,12.0,2415
2.0,13.0,1190
2.0,15.0,21
3.0,3.0,4945
3.0,4.0,16123
3.0,5.0,10724
3.0,6.0,13035
3.0,7.0,12320
3.0,8.0,19183
3.0,9.0,18876
3.0,10.0,20708
3.0,11.0,12708
3.0,12.0,9666
3.0,13.0,4254
4.0,3.0,12821
4.0,4.0,13606
4.0,5.0,22221
4.0,6.0,10670
4.0,7.0,21302
4.0,8.0,26265
4.0,9.0,19450
4.0,10.0,3996
4.0,11.0,20101
4.0,12.0,3979
4.0,13.0,2569
5.0,3.0,5711
5.0,4.0,4738
5.0,5.0,7334
5.0,6.0,21335
5.0,7.0,9537
5.0,8.0,22259
5.0,9.0,17168
5.0,10.0,7679
5.0,11.0,12188
5.0,12.0,6588
6.0,4.0,5391
6.0,5.0,9269
6.0,6.0,10033
6.0,7.0,13812
6.0,8.0,17453
6.0,9.0,9908
6.0,10.0,19421
6.0,11.0,16133
6.0,12.0,6497
6.0,13.0,2141
6.0,15.0,42
7.0,5.0,4806
7.0,6.0,3623
7.0,7.0,5806
7.0,8.0,7871
7.0,9.0,4939
7.0,10.0,3262
7.0,11.0,5745
7.0,12.0,4135
7.0,13.0,4053
7.0,14.0,2404
