start_x,start_y,size
0.0,3.0,11964
0.0,4.0,9198
0.0,5.0,10967
0.0,6.0,13529
0.0,9.0,3048
0.0,10.0,7192
0.0,11.0,6859
0.0,12.0,6966
0.0,13.0,5534
0.0,14.0,5251
0.0,15.0,4712
1.0,3.0,32802
1.0,4.0,11895
1.0,5.0,24120
1.0,6.0,29474
1.0,7.0,6073
1.0,8.0,5544
1.0,9.0,3135
1.0,10.0,5160
1.0,11.0,8950
1.0,12.0,1820
1.0,13.0,1944
1.0,14.0,472
1.0,15.0,2453
2.0,3.0,9110
2.0,4.0,21989
2.0,5.0,26202
2.0,6.0,11286
2.0,7.0,25615
2.0,8.0,18525
2.0,9.0,26602
2.0,10.0,19282
2.0,11.0,3876
2.0,12.0,3536
2.0,13.0,2966
2.0,15.0,69
3.0,3.0,12510
3.0,4.0,34471
3.0,5.0,21924
3.0,6.0,24717
3.0,7.0,16694
3.0,8.0,37504
3.0,9.0,35556
3.0,10.0,34429
3.0,11.0,23437
3.0,12.0,17230
3.0,13.0,8429
4.0,3.0,29856
4.0,4.0,24783
4.0,5.0,49993
4.0,6.0,13813
4.0,7.0,40824
4.0,8.0,58498
4.0,9.0,36052
4.0,10.0,6264
4.0,11.0,35498
4.0,12.0,5481
4.0,13.0,5535
5.0,3.0,19861
5.0,4.0,8236
5.0,5.0,13303
5.0,6.0,36032
5.0,7.0,16273
5.0,8.0,34308
5.0,9.0,27998
5.0,10.0,12982
5.0,11.0,24334
5.0,12.0,13965
6.0,4.0,11109
6.0,5.0,19248
6.0,6.0,18492
6.0,7.0,23537
6.0,8.0,28179
6.0,9.0,16397
6.0,10.0,28780
6.0,11.0,28695
6.0,12.0,9177
6.0,13.0,5264
6.0,15.0,339
7.0,5.0,10297
7.0,6.0,7211
7.0,7.0,10582
7.0,8.0,13793
7.0,9.0,7821
7.0,10.0,9617
7.0,11.0,5465
7.0,12.0,13510
7.0,13.0,5448
7.0,14.0,4402
