start_x,start_y,size
0.0,3.0,3953
0.0,4.0,2852
0.0,5.0,4682
0.0,6.0,4685
0.0,9.0,679
0.0,10.0,4746
0.0,11.0,3941
0.0,12.0,3589
0.0,13.0,3357
0.0,14.0,2690
0.0,15.0,2736
1.0,3.0,11612
1.0,4.0,5663
1.0,5.0,13012
1.0,6.0,13352
1.0,7.0,2373
1.0,8.0,3205
1.0,9.0,1527
1.0,10.0,1730
1.0,11.0,4098
1.0,12.0,920
1.0,13.0,1165
1.0,14.0,437
1.0,15.0,1305
2.0,3.0,2215
2.0,4.0,9850
2.0,5.0,11197
2.0,6.0,2352
2.0,7.0,10944
2.0,8.0,9271
2.0,9.0,14852
2.0,10.0,11859
2.0,11.0,2683
2.0,12.0,2619
2.0,13.0,1281
2.0,15.0,16
3.0,3.0,5308
3.0,4.0,17699
3.0,5.0,11360
3.0,6.0,13712
3.0,7.0,11905
3.0,8.0,19438
3.0,9.0,19639
3.0,10.0,21416
3.0,11.0,13095
3.0,12.0,10632
3.0,13.0,4134
4.0,3.0,14186
4.0,4.0,14609
4.0,5.0,23807
4.0,6.0,11559
4.0,7.0,22711
4.0,8.0,28478
4.0,9.0,20814
4.0,10.0,4466
4.0,11.0,21813
4.0,12.0,3603
4.0,13.0,3140
5.0,3.0,6578
5.0,4.0,5007
5.0,5.0,7827
5.0,6.0,23723
5.0,7.0,10871
5.0,8.0,24650
5.0,9.0,18044
5.0,10.0,8043
5.0,11.0,13411
5.0,12.0,7585
6.0,4.0,5824
6.0,5.0,10228
6.0,6.0,10432
6.0,7.0,14998
6.0,8.0,19253
6.0,9.0,11143
6.0,10.0,22562
6.0,11.0,18523
6.0,12.0,7072
6.0,13.0,2388
6.0,15.0,49
7.0,5.0,5292
7.0,6.0,4039
7.0,7.0,6119
7.0,8.0,8697
7.0,9.0,5475
7.0,10.0,3611
7.0,11.0,6516
7.0,12.0,4599
7.0,13.0,4355
7.0,14.0,2754
