start_x,start_y,size
0.0,3.0,11332
0.0,4.0,7359
0.0,5.0,10927
0.0,6.0,10109
0.0,9.0,4061
0.0,10.0,8780
0.0,11.0,9729
0.0,12.0,5888
0.0,13.0,6584
0.0,14.0,4965
0.0,15.0,5868
1.0,3.0,31369
1.0,4.0,16329
1.0,5.0,22588
1.0,6.0,30423
1.0,7.0,3874
1.0,8.0,5773
1.0,9.0,3892
1.0,10.0,5362
1.0,11.0,8471
1.0,12.0,4773
1.0,13.0,3035
1.0,14.0,595
1.0,15.0,1834
2.0,3.0,9765
2.0,4.0,22607
2.0,5.0,26146
2.0,6.0,13599
2.0,7.0,25894
2.0,8.0,16766
2.0,9.0,37376
2.0,10.0,22109
2.0,11.0,10175
2.0,12.0,4864
2.0,13.0,3629
2.0,15.0,30
3.0,3.0,14340
3.0,4.0,34496
3.0,5.0,27832
3.0,6.0,31555
3.0,7.0,23053
3.0,8.0,33949
3.0,9.0,41650
3.0,10.0,44410
3.0,11.0,29024
3.0,12.0,16623
3.0,13.0,12451
4.0,3.0,32641
4.0,4.0,34260
4.0,5.0,48704
4.0,6.0,21793
4.0,7.0,37478
4.0,8.0,50453
4.0,9.0,27812
4.0,10.0,14800
4.0,11.0,32795
4.0,12.0,10183
4.0,13.0,2143
5.0,3.0,17987
5.0,4.0,16361
5.0,5.0,24251
5.0,6.0,29210
5.0,7.0,15806
5.0,8.0,40928
5.0,9.0,27976
5.0,10.0,16270
5.0,11.0,33560
5.0,12.0,15387
6.0,4.0,18022
6.0,5.0,26809
6.0,6.0,18546
6.0,7.0,26113
6.0,8.0,27771
6.0,9.0,19233
6.0,10.0,25761
6.0,11.0,14085
6.0,12.0,21590
6.0,13.0,4655
6.0,15.0,372
7.0,5.0,16307
7.0,6.0,6893
7.0,7.0,14448
7.0,8.0,4108
7.0,9.0,18886
7.0,10.0,7550
7.0,11.0,11276
7.0,12.0,8745
7.0,13.0,11435
7.0,14.0,5161
7.0,15.0,314
