start_x,start_y,size
0.0,3.0,11806
0.0,4.0,7318
0.0,5.0,10634
0.0,6.0,9632
0.0,9.0,3889
0.0,10.0,8169
0.0,11.0,9927
0.0,12.0,5998
0.0,13.0,7206
0.0,14.0,4939
0.0,15.0,5739
1.0,3.0,31276
1.0,4.0,15845
1.0,5.0,23638
1.0,6.0,31640
1.0,7.0,3579
1.0,8.0,5837
1.0,9.0,3683
1.0,10.0,4960
1.0,11.0,7323
1.0,12.0,5528
1.0,13.0,3161
1.0,14.0,541
1.0,15.0,1719
2.0,3.0,9284
2.0,4.0,22950
2.0,5.0,25415
2.0,6.0,13159
2.0,7.0,26148
2.0,8.0,16744
2.0,9.0,38054
2.0,10.0,22160
2.0,11.0,10134
2.0,12.0,4734
2.0,13.0,3624
2.0,15.0,41
3.0,3.0,14118
3.0,4.0,34264
3.0,5.0,27891
3.0,6.0,32554
3.0,7.0,25817
3.0,8.0,34791
3.0,9.0,43299
3.0,10.0,44476
3.0,11.0,27808
3.0,12.0,19243
3.0,13.0,12037
4.0,3.0,31987
4.0,4.0,32579
4.0,5.0,49648
4.0,6.0,22614
4.0,7.0,37916
4.0,8.0,57807
4.0,9.0,28055
4.0,10.0,15259
4.0,11.0,35411
4.0,12.0,10586
4.0,13.0,2503
5.0,3.0,16206
5.0,4.0,16686
5.0,5.0,24727
5.0,6.0,28193
5.0,7.0,15877
5.0,8.0,43541
5.0,9.0,29695
5.0,10.0,14694
5.0,11.0,33296
5.0,12.0,15191
6.0,4.0,18572
6.0,5.0,28144
6.0,6.0,18531
6.0,7.0,27743
6.0,8.0,25449
6.0,9.0,19383
6.0,10.0,25010
6.0,11.0,17832
6.0,12.0,18660
6.0,13.0,4613
6.0,15.0,340
7.0,5.0,16251
7.0,6.0,6864
7.0,7.0,13099
7.0,8.0,12386
7.0,9.0,14354
7.0,10.0,7264
7.0,11.0,10628
7.0,12.0,8664
7.0,13.0,11255
7.0,14.0,5302
7.0,15.0,281
