,name,lat,lng
0,5 Ave & 67 St,40.635679,-74.020005
1,39 St & 2 Ave - Citi Bike HQ at Industry City,40.65539977447831,-74.01062786579132
2,2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708866668485,-74.00870203971863
3,Garfield Pl & 8 Ave,40.6711978,-73.97484126
4,Park Pl & Vanderbilt Ave,40.6767,-73.969024
5,Marcus Garvey Blvd & Macon St,40.682601,-73.938037
6,Congress St & Clinton St,40.6881529,-73.99520919
7,4455.10,40.68825516598005,-73.99545192718506
8,Boerum Pl\t& Pacific St,40.688489,-73.99116
9,Willoughby Ave & Myrtle Ave,40.69757,-73.93098
10,Nassau St\t& Duffield St,40.698477,-73.98384
11,Division Av & Hooper St,40.70684203101325,-73.9544353965357
12,Cliff St & Fulton St,40.70831794366396,-74.00504082441329
13,Spruce St & Nassau St,40.71146364,-74.00552427
14,Clinton St\t& Cherry St,40.711471,-73.986726
15,Division St & Bowery,40.71413089,-73.9970468
16,West St & Chambers St,40.71754834,-74.01322069
17,Forsyth St\t& Grand St,40.717798,-73.993161
18,Mercer St & Spring St,40.72362738,-73.99949601
19,Avenue D & E 8 St,40.72368361,-73.97574813
20,Lafayette St & Jersey St,40.72430527250332,-73.99600982666016
21,W Broadway & Spring Street,40.72494672359416,-74.00165855884552
22,Bleecker St & Crosby St,40.726156,-73.995101
23,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
24,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394
25,E 13 St & 2 Ave,40.731539,-73.985302
26,1 Ave & E 16 St,40.73221853,-73.98165557
27,1 Ave & E 18 St,40.73381219196632,-73.98054420948029
28,Lexington Ave & E 26 St,40.741459,-73.983293
29,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922
30,W 31 St & 7 Ave,40.749156,-73.9916
31,W 33 St & 7 Ave,40.75019995,-73.99093085
32,Pershing Square South,40.751581,-73.97791
33,24 St & 41 Ave,40.7527085,-73.9397405
34,E 51 St & 2 Ave,40.755293,-73.967641
35,W 45 St & 6 Ave -,40.75668720603179,-73.98257732391357
36,51 St & Hobart St,40.757764,-73.907654
37,E 58 St & 1 Ave,40.75892386377695,-73.96226227283478
38,E 58 St &  1 Ave (NW Corner),40.759125,-73.962658
39,31 Ave & Steinway St,40.761293897289086,-73.916916847229
40,W 53 St & 10 Ave,40.76669671,-73.99061728
41,Ditmars Ave & 43 St,40.771203,-73.903865
42,5 Ave & E 73 St,40.77282817,-73.96685276
43,Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449
44,Central Park West & W 85 St,40.78472675,-73.96961715
45,5 Ave & E 126 St,40.80698,-73.941747
46,Southern Blvd & E 142 St,40.807258,-73.907999
47,Propsect Ave & E 151 St,40.814232,-73.903927
48,St Nicholas Ave & E 134 St,40.816234,-73.948222
49,Grand Concourse & E 144  St,40.81687039466032,-73.92798498272896
50,Riverside Dr & W 148 St,40.829114,-73.950426
51,E 170 St & Webster Ave,40.836103,-73.907199
52,3 Ave & E 174 St,40.84224,-73.8985
53,Grand Concourse & E 192 St,40.86448,-73.89522
